Category,Mood,Name,YouTube_Link
Self-Improve,Angry,Train Your Mind to Be Calm in Every Situation,https://www.youtube.com/watch?v=SR0lAHQgY20
Self-Improve,Happy,Why Having Fun Is the Secret to a Healthier Life,https://www.youtube.com/watch?v=hbJghhmCAzY
Self-Improve,Fearful,Train Your Brain to Conquer Fear,https://www.youtube.com/watch?v=TFbv757kup4
Self-Improve,Happy,Flow: The Secret to Happiness,https://www.youtube.com/watch?v=TzPky5Xe1-s
Self-Improve,Fearful,How to Calm Your Anxiety,https://www.youtube.com/watch?v=FpiWSFcL3-c
Self-Improve,Calm,The Hidden Power of Stillness,https://www.youtube.com/watch?v=Cetg4gu0oQQ
Self-Improve,Surprise,Why Having Fun Is the Secret to a Healthier Life,https://www.youtube.com/watch?v=hbJghhmCAzY
Self-Improve,Calm,Why Mindfulness Is a Superpower,https://www.youtube.com/watch?v=Hc7cI9D5558
Self-Improve,Neutral,Try Something New for 30 Days,https://www.youtube.com/watch?v=UNP03fDSj1U
Self-Improve,Neutral,How Boredom Can Lead to Your Most Brilliant Ideas,https://www.youtube.com/watch?v=c73Q8oQmwzo
Self-Improve,Disgust,The Art of Letting Go,https://www.youtube.com/watch?v=Tm8U0-_OBQ0
Self-Improve,Disgust,"Tidy Your Space, Transform Your Mind",https://www.youtube.com/watch?v=TXzcmr2WcDA
